len(X),len(Y),"[ 2^7, 2^8)","[ 2^8, 2^9)","[ 2^9, 2^10)","[ 2^10, 2^11)","[ 2^11, 2^12)","[ 2^12, 2^13)","[ 2^13, 2^14)","[ 2^14, 2^15)","[ 2^15, 2^16)","[ 2^16, 2^17)","[ 2^17, 2^18)","[ 2^18, 2^19)","[ 2^19, 2^20)","[ 2^20, 2^21)","[ 2^21, 2^22)","[ 2^22, 2^23)","[ 2^23, 2^24)","[ 2^24, 2^25)","[ 2^25, 2^26)","[ 2^26, 2^27)","[ 2^27, 2^28)","[ 2^28, 2^29)","[ 2^29, 2^30)","[ 2^30, 2^31)","[ 2^31, 2^32)","[ 2^32, 2^33)","[ 2^33, 2^34)","[ 2^34, 2^35)","[ 2^35, 2^36)","[ 2^36, 2^37)","[ 2^37, 2^38)","[ 2^38, 2^39)","[ 2^39, 2^40)","[ 2^40, 2^41)","[ 2^41, 2^42)","[ 2^42, 2^43)","[ 2^43, 2^44)","[ 2^44, 2^45)","[ 2^45, 2^46)","[ 2^46, 2^47)","[ 2^47, 2^48)","[ 2^48, 2^49)","[ 2^49, 2^50)","[ 2^50, 2^51)","[ 2^51, 2^52)","[ 2^52, 2^53)","[ 2^53, 2^54)","[ 2^54, 2^55)","[ 2^55, 2^56)","[ 2^56, 2^57)","[ 2^57, 2^58)","[ 2^58, 2^59)","[ 2^59, 2^60)","[ 2^60, 2^61)","[ 2^61, 2^62)","[ 2^62, 2^63)","[ 2^63, 2^64)"
103,78,0.057,0.033,0.017,0.015,0.007,0.006,0.002,0.004,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,77,0.22,0.149,0.104,0.062,0.031,0.024,0.019,0.014,0.01,0.002,0.003,0.001,0.002,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,76,0.141,0.081,0.062,0.044,0.022,0.016,0.01,0.005,0.003,0.002,0.004,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,75,0.439,0.313,0.243,0.213,0.156,0.108,0.081,0.066,0.05,0.032,0.016,0.026,0.014,0.013,0.008,0.005,0.003,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,74,0.061,0.042,0.022,0.013,0.006,0.005,0.008,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,73,0.49,0.394,0.332,0.265,0.212,0.159,0.127,0.089,0.076,0.073,0.059,0.033,0.021,0.012,0.016,0.009,0.007,0.003,0.003,0.002,0.001,0.0,0.001,0.0,0.002,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,72,0.07,0.037,0.023,0.015,0.005,0.004,0.005,0.002,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,71,0.402,0.31,0.268,0.187,0.142,0.106,0.081,0.06,0.022,0.02,0.02,0.022,0.005,0.004,0.009,0.005,0.002,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,70,0.183,0.093,0.083,0.055,0.055,0.023,0.025,0.015,0.005,0.005,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,69,0.194,0.121,0.096,0.061,0.039,0.017,0.012,0.012,0.007,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,68,0.06,0.036,0.026,0.021,0.016,0.003,0.0,0.004,0.001,0.004,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,67,0.728,0.656,0.559,0.475,0.411,0.355,0.293,0.264,0.206,0.177,0.13,0.136,0.097,0.066,0.056,0.053,0.037,0.034,0.012,0.016,0.013,0.009,0.012,0.007,0.009,0.004,0.002,0.002,0.004,0.001,0.002,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,66,0.055,0.034,0.025,0.012,0.007,0.004,0.002,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,65,0.238,0.134,0.088,0.08,0.041,0.025,0.017,0.006,0.005,0.004,0.007,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,64,0.109,0.088,0.068,0.042,0.022,0.022,0.012,0.009,0.007,0.004,0.001,0.002,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,63,0.515,0.436,0.371,0.272,0.239,0.195,0.147,0.125,0.108,0.072,0.06,0.05,0.035,0.025,0.018,0.01,0.012,0.008,0.008,0.004,0.004,0.002,0.0,0.002,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,62,0.067,0.036,0.02,0.007,0.009,0.002,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,61,0.423,0.348,0.269,0.224,0.15,0.131,0.099,0.066,0.051,0.034,0.025,0.02,0.007,0.014,0.011,0.009,0.006,0.003,0.002,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,60,0.061,0.043,0.027,0.013,0.005,0.002,0.004,0.003,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,59,0.392,0.354,0.28,0.202,0.151,0.113,0.093,0.043,0.047,0.023,0.025,0.019,0.015,0.01,0.007,0.005,0.003,0.003,0.002,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,58,0.111,0.101,0.06,0.031,0.036,0.013,0.019,0.002,0.008,0.004,0.0,0.003,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,57,0.21,0.142,0.099,0.067,0.045,0.038,0.015,0.016,0.007,0.0,0.004,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,56,0.061,0.034,0.029,0.011,0.01,0.003,0.001,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,55,0.732,0.614,0.553,0.495,0.414,0.333,0.264,0.201,0.194,0.125,0.122,0.096,0.082,0.068,0.051,0.044,0.024,0.021,0.017,0.01,0.007,0.012,0.004,0.004,0.002,0.002,0.002,0.002,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,54,0.06,0.04,0.025,0.019,0.009,0.003,0.003,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,53,0.259,0.205,0.15,0.118,0.086,0.065,0.043,0.023,0.014,0.016,0.007,0.007,0.004,0.003,0.002,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,52,0.147,0.087,0.071,0.031,0.023,0.011,0.008,0.007,0.001,0.005,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,51,0.379,0.296,0.217,0.165,0.121,0.083,0.068,0.041,0.024,0.029,0.016,0.012,0.012,0.008,0.003,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,50,0.061,0.048,0.017,0.017,0.009,0.003,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,49,0.461,0.365,0.304,0.218,0.173,0.14,0.119,0.088,0.064,0.045,0.037,0.022,0.027,0.008,0.011,0.007,0.002,0.005,0.004,0.001,0.002,0.004,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
